Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
14/03/2023 16:00:02,466,22.4,48,994.1
14/03/2023 16:01:02,451,22.4,48,994.2
14/03/2023 16:02:02,465,22.4,48,994.1
14/03/2023 16:03:02,468,22.4,48,994.2
14/03/2023 16:04:02,455,22.4,48,994.3
14/03/2023 16:05:02,460,22.4,48,994.3
14/03/2023 16:06:02,464,22.4,48,994.3
14/03/2023 16:07:02,466,22.4,48,994.4
14/03/2023 16:08:02,458,22.3,48,994.3
14/03/2023 16:09:02,450,22.3,48,994.4
14/03/2023 16:10:02,460,22.3,48,994.3
14/03/2023 16:11:02,469,22.3,48,994.4
14/03/2023 16:12:02,434,22.3,48,994.3
14/03/2023 16:13:02,481,22.3,48,994.4
14/03/2023 16:14:02,439,22.3,48,994.5
14/03/2023 16:15:02,449,22.3,48,994.4
14/03/2023 16:16:02,455,22.3,48,994.5
14/03/2023 16:17:02,453,22.3,48,994.6
14/03/2023 16:18:02,463,22.3,48,994.6
14/03/2023 16:19:02,468,22.3,48,994.4
14/03/2023 16:20:02,444,22.3,48,994.4
14/03/2023 16:21:02,461,22.3,48,994.6
14/03/2023 16:22:02,474,22.3,48,994.5
14/03/2023 16:23:02,467,22.3,48,994.5
14/03/2023 16:24:02,460,22.3,48,994.6
14/03/2023 16:25:02,464,22.3,48,994.4
14/03/2023 16:26:02,455,22.2,48,994.7
14/03/2023 16:27:02,453,22.2,48,994.5
14/03/2023 16:28:02,468,22.2,48,994.6
14/03/2023 16:29:02,478,22.2,48,994.6
14/03/2023 16:30:02,448,22.2,48,994.7
14/03/2023 16:31:02,460,22.2,48,994.7
14/03/2023 16:32:02,471,22.2,48,994.8
14/03/2023 16:33:02,471,22.2,48,994.7
14/03/2023 16:34:02,459,22.2,48,994.8
14/03/2023 16:35:02,492,22.2,48,994.9
14/03/2023 16:36:02,455,22.2,48,995
14/03/2023 16:37:02,450,22.1,48,994.9
14/03/2023 16:38:02,456,22.1,48,994.9
14/03/2023 16:39:02,470,22.1,48,995
14/03/2023 16:40:02,462,22.1,48,995.1
14/03/2023 16:41:02,453,22.1,48,995
14/03/2023 16:42:02,447,22.1,48,995
14/03/2023 16:43:02,452,22.1,48,995.1
14/03/2023 16:44:02,453,22,48,995.1
14/03/2023 16:45:02,455,22,48,995.1
14/03/2023 16:46:02,441,22,48,995.2
14/03/2023 16:47:02,443,22,47,995.1
14/03/2023 16:48:02,451,22,48,995.2
14/03/2023 16:49:02,433,22,48,995.3
14/03/2023 16:50:02,442,22,48,995.3
14/03/2023 16:51:02,450,21.9,48,995.3
14/03/2023 16:52:02,428,21.9,48,995.5
14/03/2023 16:53:02,451,21.9,48,995.6
14/03/2023 16:54:02,438,21.9,48,995.6
14/03/2023 16:55:02,440,21.9,47,995.5
14/03/2023 16:56:02,427,21.9,48,995.6
14/03/2023 16:57:02,447,21.8,47,995.5
14/03/2023 16:58:02,437,21.8,47,995.6
14/03/2023 16:59:02,453,21.8,47,995.6
14/03/2023 17:00:02,447,21.8,47,995.7
14/03/2023 17:01:02,469,21.8,47,995.6
14/03/2023 17:02:02,471,21.8,47,995.7
14/03/2023 17:03:02,475,21.8,47,995.8
14/03/2023 17:04:02,482,21.8,47,995.9
14/03/2023 17:05:02,479,21.8,47,995.8
14/03/2023 17:06:02,468,21.8,48,995.8
14/03/2023 17:07:02,481,21.7,48,996
14/03/2023 17:08:02,445,21.7,47,995.9
14/03/2023 17:09:02,486,21.7,47,996.1
14/03/2023 17:10:02,475,21.7,48,996
14/03/2023 17:11:02,463,21.7,47,996.1
