//Exported ASCII-File
[Header]
FileName = D:\User\Wieser\Cascades_day6.wip
GraphName = CC9_MI1_OL_20X
SizeX = 1
SizeY = 1
SizeGraph = 1024
PositionUnit = µm
PositionX = -124.4
PositionY = -2.9
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	CC9_MI1_OL_20X
 5.874196431E+01	 7.172999878E+02
 6.371206119E+01	 7.225999756E+02
 6.867965313E+01	 7.322999878E+02
 7.364474049E+01	 7.399000244E+02
 7.860732366E+01	 7.430999756E+02
 8.356740304E+01	 7.447000122E+02
 8.852497903E+01	 7.430999756E+02
 9.348005205E+01	 7.454000244E+02
 9.843262250E+01	 7.455000000E+02
 1.033826908E+02	 7.457999878E+02
 1.083302575E+02	 7.454000244E+02
 1.132753228E+02	 7.485000000E+02
 1.182178874E+02	 7.455999756E+02
 1.231579517E+02	 7.477999878E+02
 1.280955161E+02	 7.489000244E+02
 1.330305811E+02	 7.505999756E+02
 1.379631473E+02	 7.494000244E+02
 1.428932150E+02	 7.552000122E+02
 1.478207848E+02	 7.574000244E+02
 1.527458573E+02	 7.567000122E+02
 1.576684328E+02	 7.575000000E+02
 1.625885121E+02	 7.572999878E+02
 1.675060955E+02	 7.572000122E+02
 1.724211837E+02	 7.552000122E+02
 1.773337772E+02	 7.517999878E+02
 1.822438765E+02	 7.500999756E+02
 1.871514822E+02	 7.517000122E+02
 1.920565950E+02	 7.535999756E+02
 1.969592153E+02	 7.540000000E+02
 2.018593437E+02	 7.572999878E+02
 2.067569809E+02	 7.599000244E+02
 2.116521275E+02	 7.634000244E+02
 2.165447841E+02	 7.727999878E+02
 2.214349512E+02	 7.824000244E+02
 2.263226296E+02	 7.879000244E+02
 2.312078198E+02	 7.817999878E+02
 2.360905225E+02	 7.747000122E+02
 2.409707384E+02	 7.694000244E+02
 2.458484680E+02	 7.629000244E+02
 2.507237122E+02	 7.582000122E+02
 2.555964714E+02	 7.550000000E+02
 2.604667465E+02	 7.499000244E+02
 2.653345381E+02	 7.540999756E+02
 2.701998469E+02	 7.527000122E+02
 2.750626735E+02	 7.512000122E+02
 2.799230188E+02	 7.535999756E+02
 2.847808833E+02	 7.540000000E+02
 2.896362679E+02	 7.592999878E+02
 2.944891732E+02	 7.645000000E+02
 2.993396000E+02	 7.809000244E+02
 3.041875491E+02	 7.964000244E+02
 3.090330211E+02	 7.977000122E+02
 3.138760168E+02	 7.865999756E+02
 3.187165370E+02	 7.760000000E+02
 3.235545825E+02	 7.705999756E+02
 3.283901540E+02	 7.717000122E+02
 3.332232523E+02	 7.677999878E+02
 3.380538782E+02	 7.705999756E+02
 3.428820325E+02	 7.675000000E+02
 3.477077159E+02	 7.672000122E+02
 3.525309293E+02	 7.630000000E+02
 3.573516736E+02	 7.587999878E+02
 3.621699494E+02	 7.557000122E+02
 3.669857577E+02	 7.550999756E+02
 3.717990992E+02	 7.509000244E+02
 3.766099749E+02	 7.515999756E+02
 3.814183855E+02	 7.472000122E+02
 3.862243319E+02	 7.479000244E+02
 3.910278150E+02	 7.430000000E+02
 3.958288355E+02	 7.447000122E+02
 4.006273945E+02	 7.447999878E+02
 4.054234927E+02	 7.452999878E+02
 4.102171310E+02	 7.492999878E+02
 4.150083103E+02	 7.545000000E+02
 4.197970316E+02	 7.552999878E+02
 4.245832956E+02	 7.614000244E+02
 4.293671033E+02	 7.640999756E+02
 4.341484557E+02	 7.757999878E+02
 4.389273536E+02	 7.775999756E+02
 4.437037979E+02	 7.747000122E+02
 4.484777896E+02	 7.617000122E+02
 4.532493296E+02	 7.542000122E+02
 4.580184188E+02	 7.515000000E+02
 4.627850582E+02	 7.487000122E+02
 4.675492487E+02	 7.487000122E+02
 4.723109913E+02	 7.475999756E+02
 4.770702869E+02	 7.487999878E+02
 4.818271365E+02	 7.480000000E+02
 4.865815411E+02	 7.495000000E+02
 4.913335016E+02	 7.455000000E+02
 4.960830191E+02	 7.450999756E+02
 5.008300944E+02	 7.442000122E+02
 5.055747286E+02	 7.467999878E+02
 5.103169227E+02	 7.502000122E+02
 5.150566777E+02	 7.485000000E+02
 5.197939945E+02	 7.505000000E+02
 5.245288743E+02	 7.515000000E+02
 5.292613180E+02	 7.544000244E+02
 5.339913266E+02	 7.550999756E+02
 5.387189012E+02	 7.622000122E+02
 5.434440427E+02	 7.695000000E+02
 5.481667523E+02	 7.712000122E+02
 5.528870309E+02	 7.612000122E+02
 5.576048796E+02	 7.565000000E+02
 5.623202995E+02	 7.520000000E+02
 5.670332916E+02	 7.534000244E+02
 5.717438570E+02	 7.574000244E+02
 5.764519967E+02	 7.702999878E+02
 5.811577118E+02	 7.817000122E+02
 5.858610033E+02	 7.930000000E+02
 5.905618725E+02	 7.957000122E+02
 5.952603202E+02	 7.877999878E+02
 5.999563477E+02	 7.777000122E+02
 6.046499559E+02	 7.802000122E+02
 6.093411461E+02	 7.770999756E+02
 6.140299193E+02	 7.757000122E+02
 6.187162766E+02	 7.660999756E+02
 6.234002191E+02	 7.602999878E+02
 6.280817479E+02	 7.515999756E+02
 6.327608642E+02	 7.512000122E+02
 6.374375690E+02	 7.500000000E+02
 6.421118636E+02	 7.487999878E+02
 6.467837489E+02	 7.485000000E+02
 6.514532263E+02	 7.472999878E+02
 6.561202967E+02	 7.490000000E+02
 6.607849614E+02	 7.492000122E+02
 6.654472214E+02	 7.462999878E+02
 6.701070780E+02	 7.472000122E+02
 6.747645323E+02	 7.472999878E+02
 6.794195855E+02	 7.462000122E+02
 6.840722386E+02	 7.472999878E+02
 6.887224930E+02	 7.499000244E+02
 6.933703497E+02	 7.467000122E+02
 6.980158099E+02	 7.487000122E+02
 7.026588748E+02	 7.489000244E+02
 7.072995457E+02	 7.492999878E+02
 7.119378236E+02	 7.492000122E+02
 7.165737098E+02	 7.495999756E+02
 7.212072054E+02	 7.522000122E+02
 7.258383117E+02	 7.529000244E+02
 7.304670299E+02	 7.525999756E+02
 7.350933611E+02	 7.540999756E+02
 7.397173066E+02	 7.535999756E+02
 7.443388676E+02	 7.532999878E+02
 7.489580453E+02	 7.547999878E+02
 7.535748409E+02	 7.569000244E+02
 7.581892557E+02	 7.572000122E+02
 7.628012909E+02	 7.559000244E+02
 7.674109476E+02	 7.589000244E+02
 7.720182272E+02	 7.615000000E+02
 7.766231309E+02	 7.610999756E+02
 7.812256599E+02	 7.672000122E+02
 7.858258154E+02	 7.700000000E+02
 7.904235988E+02	 7.710999756E+02
 7.950190112E+02	 7.764000244E+02
 7.996120539E+02	 7.852999878E+02
 8.042027282E+02	 7.987999878E+02
 8.087910353E+02	 8.215999756E+02
 8.133769766E+02	 8.707999878E+02
 8.179605532E+02	 9.830000000E+02
 8.225417664E+02	 1.194599976E+03
 8.271206175E+02	 1.340599976E+03
 8.316971078E+02	 1.262800049E+03
 8.362712385E+02	 1.135099976E+03
 8.408430111E+02	 1.112400024E+03
 8.454124266E+02	 1.208699951E+03
 8.499794864E+02	 1.483599976E+03
 8.545441919E+02	 1.910699951E+03
 8.591065442E+02	 2.161600098E+03
 8.636665448E+02	 1.903800049E+03
 8.682241949E+02	 1.461699951E+03
 8.727794957E+02	 1.153699951E+03
 8.773324487E+02	 1.018099976E+03
 8.818830551E+02	 9.745000000E+02
 8.864313162E+02	 9.585000000E+02
 8.909772334E+02	 9.024000244E+02
 8.955208079E+02	 8.440000000E+02
 9.000620411E+02	 8.210000000E+02
 9.046009344E+02	 8.059000244E+02
 9.091374889E+02	 8.025999756E+02
 9.136717061E+02	 8.047000122E+02
 9.182035873E+02	 8.135000000E+02
 9.227331339E+02	 8.210000000E+02
 9.272603471E+02	 8.147000122E+02
 9.317852282E+02	 8.017000122E+02
 9.363077788E+02	 8.052999878E+02
 9.408280000E+02	 8.160999756E+02
 9.453458932E+02	 8.339000244E+02
 9.498614598E+02	 8.617999878E+02
 9.543747012E+02	 8.960999756E+02
 9.588856186E+02	 9.282999878E+02
 9.633942135E+02	 9.375999756E+02
 9.679004872E+02	 9.090999756E+02
 9.724044410E+02	 8.684000244E+02
 9.769060763E+02	 8.259000244E+02
 9.814053946E+02	 8.012999878E+02
 9.859023970E+02	 7.797000122E+02
 9.903970852E+02	 7.735000000E+02
 9.948894603E+02	 7.665999756E+02
 9.993795238E+02	 7.635999756E+02
 1.003867277E+03	 7.635000000E+02
 1.008352721E+03	 7.595999756E+02
 1.012835858E+03	 7.570000000E+02
 1.017316689E+03	 7.600000000E+02
 1.021795215E+03	 7.577000122E+02
 1.026271438E+03	 7.580999756E+02
 1.030745358E+03	 7.574000244E+02
 1.035216979E+03	 7.580000000E+02
