X-Axis	CC7_MI3_H2O
 5.874196431E+01	 7.909000244E+02
 6.371206119E+01	 1.059900024E+03
 6.867965313E+01	 1.864400024E+03
 7.364474049E+01	 2.646199951E+03
 7.860732366E+01	 2.896899902E+03
 8.356740304E+01	 2.949399902E+03
 8.852497903E+01	 2.969300049E+03
 9.348005205E+01	 2.986199951E+03
 9.843262250E+01	 2.978800049E+03
 1.033826908E+02	 2.967100098E+03
 1.083302575E+02	 2.960600098E+03
 1.132753228E+02	 2.916899902E+03
 1.182178874E+02	 2.902600098E+03
 1.231579517E+02	 2.907000000E+03
 1.280955161E+02	 2.876000000E+03
 1.330305811E+02	 2.836699951E+03
 1.379631473E+02	 2.790600098E+03
 1.428932150E+02	 2.766000000E+03
 1.478207848E+02	 2.760000000E+03
 1.527458573E+02	 2.747300049E+03
 1.576684328E+02	 2.704600098E+03
 1.625885121E+02	 2.668100098E+03
 1.675060955E+02	 2.635800049E+03
 1.724211837E+02	 2.600500000E+03
 1.773337772E+02	 2.564699951E+03
 1.822438765E+02	 2.554699951E+03
 1.871514822E+02	 2.544699951E+03
 1.920565950E+02	 2.524500000E+03
 1.969592153E+02	 2.507899902E+03
 2.018593437E+02	 2.458300049E+03
 2.067569809E+02	 2.437899902E+03
 2.116521275E+02	 2.412300049E+03
 2.165447841E+02	 2.418100098E+03
 2.214349512E+02	 2.409000000E+03
 2.263226296E+02	 2.411000000E+03
 2.312078198E+02	 2.381100098E+03
 2.360905225E+02	 2.359699951E+03
 2.409707384E+02	 2.351000000E+03
 2.458484680E+02	 2.324300049E+03
 2.507237122E+02	 2.295000000E+03
 2.555964714E+02	 2.296800049E+03
 2.604667465E+02	 2.294000000E+03
 2.653345381E+02	 2.292899902E+03
 2.701998469E+02	 2.288899902E+03
 2.750626735E+02	 2.285000000E+03
 2.799230188E+02	 2.279100098E+03
 2.847808833E+02	 2.280399902E+03
 2.896362679E+02	 2.261500000E+03
 2.944891732E+02	 2.248500000E+03
 2.993396000E+02	 2.264000000E+03
 3.041875491E+02	 2.310100098E+03
 3.090330211E+02	 2.281500000E+03
 3.138760168E+02	 2.274699951E+03
 3.187165370E+02	 2.251399902E+03
 3.235545825E+02	 2.247600098E+03
 3.283901540E+02	 2.221500000E+03
 3.332232523E+02	 2.221199951E+03
 3.380538782E+02	 2.227000000E+03
 3.428820325E+02	 2.221699951E+03
 3.477077159E+02	 2.251199951E+03
 3.525309293E+02	 2.246500000E+03
 3.573516736E+02	 2.267300049E+03
 3.621699494E+02	 2.270100098E+03
 3.669857577E+02	 2.299300049E+03
 3.717990992E+02	 2.296100098E+03
 3.766099749E+02	 2.325300049E+03
 3.814183855E+02	 2.337800049E+03
 3.862243319E+02	 2.345899902E+03
 3.910278150E+02	 2.344000000E+03
 3.958288355E+02	 2.366100098E+03
 4.006273945E+02	 2.376899902E+03
 4.054234927E+02	 2.395600098E+03
