X-Axis	CC14_MI2_H2O_96mw
 5.874196431E+01	 8.039000244E+02
 6.371206119E+01	 1.159000000E+03
 6.867965313E+01	 2.161100098E+03
 7.364474049E+01	 3.026800049E+03
 7.860732366E+01	 3.321300049E+03
 8.356740304E+01	 3.368800049E+03
 8.852497903E+01	 3.400899902E+03
 9.348005205E+01	 3.413699951E+03
 9.843262250E+01	 3.384300049E+03
 1.033826908E+02	 3.403699951E+03
 1.083302575E+02	 3.385000000E+03
 1.132753228E+02	 3.328000000E+03
 1.182178874E+02	 3.332000000E+03
 1.231579517E+02	 3.337100098E+03
 1.280955161E+02	 3.334300049E+03
 1.330305811E+02	 3.274399902E+03
 1.379631473E+02	 3.198100098E+03
 1.428932150E+02	 3.174399902E+03
 1.478207848E+02	 3.179500000E+03
 1.527458573E+02	 3.176699951E+03
 1.576684328E+02	 3.141800049E+03
 1.625885121E+02	 3.099000000E+03
 1.675060955E+02	 3.049100098E+03
 1.724211837E+02	 2.997899902E+03
 1.773337772E+02	 2.974399902E+03
 1.822438765E+02	 2.940000000E+03
 1.871514822E+02	 2.935500000E+03
 1.920565950E+02	 2.902100098E+03
 1.969592153E+02	 2.878399902E+03
 2.018593437E+02	 2.837699951E+03
 2.067569809E+02	 2.785500000E+03
 2.116521275E+02	 2.770199951E+03
 2.165447841E+02	 2.762800049E+03
 2.214349512E+02	 2.763399902E+03
 2.263226296E+02	 2.749199951E+03
 2.312078198E+02	 2.776199951E+03
 2.360905225E+02	 2.732800049E+03
 2.409707384E+02	 2.710399902E+03
 2.458484680E+02	 2.686600098E+03
 2.507237122E+02	 2.661199951E+03
 2.555964714E+02	 2.658300049E+03
 2.604667465E+02	 2.656699951E+03
 2.653345381E+02	 2.642300049E+03
 2.701998469E+02	 2.635399902E+03
 2.750626735E+02	 2.638100098E+03
 2.799230188E+02	 2.625699951E+03
 2.847808833E+02	 2.619000000E+03
 2.896362679E+02	 2.623500000E+03
 2.944891732E+02	 2.643100098E+03
 2.993396000E+02	 2.690699951E+03
 3.041875491E+02	 2.736899902E+03
 3.090330211E+02	 2.756600098E+03
 3.138760168E+02	 2.691899902E+03
 3.187165370E+02	 2.642500000E+03
 3.235545825E+02	 2.647800049E+03
 3.283901540E+02	 2.631300049E+03
 3.332232523E+02	 2.587100098E+03
 3.380538782E+02	 2.582800049E+03
 3.428820325E+02	 2.561500000E+03
 3.477077159E+02	 2.578100098E+03
 3.525309293E+02	 2.601399902E+03
 3.573516736E+02	 2.598399902E+03
 3.621699494E+02	 2.598600098E+03
 3.669857577E+02	 2.629199951E+03
 3.717990992E+02	 2.621600098E+03
 3.766099749E+02	 2.631000000E+03
 3.814183855E+02	 2.631399902E+03
 3.862243319E+02	 2.644000000E+03
 3.910278150E+02	 2.674300049E+03
 3.958288355E+02	 2.659100098E+03
 4.006273945E+02	 2.686399902E+03
 4.054234927E+02	 2.690899902E+03
 4.102171310E+02	 2.728699951E+03
 4.150083103E+02	 2.769899902E+03
 4.197970316E+02	 2.795699951E+03
 4.245832956E+02	 2.805199951E+03
 4.293671033E+02	 2.780399902E+03
 4.341484557E+02	 2.812800049E+03
 4.389273536E+02	 2.827300049E+03
 4.437037979E+02	 2.830199951E+03
 4.484777896E+02	 2.805500000E+03
 4.532493296E+02	 2.807000000E+03
 4.580184188E+02	 2.797500000E+03
 4.627850582E+02	 2.803699951E+03
 4.675492487E+02	 2.812399902E+03
 4.723109913E+02	 2.816600098E+03
 4.770702869E+02	 2.825699951E+03
 4.818271365E+02	 2.822800049E+03
 4.865815411E+02	 2.843800049E+03
 4.913335016E+02	 2.857399902E+03
 4.960830191E+02	 2.866899902E+03
 5.008300944E+02	 2.865500000E+03
 5.055747286E+02	 2.869000000E+03
 5.103169227E+02	 2.855800049E+03
 5.150566777E+02	 2.820699951E+03
 5.197939945E+02	 2.807699951E+03
 5.245288743E+02	 2.767500000E+03
 5.292613180E+02	 2.729800049E+03
 5.339913266E+02	 2.675199951E+03
 5.387189012E+02	 2.647399902E+03
 5.434440427E+02	 2.604100098E+03
 5.481667523E+02	 2.581899902E+03
 5.528870309E+02	 2.530199951E+03
 5.576048796E+02	 2.479100098E+03
 5.623202995E+02	 2.451600098E+03
 5.670332916E+02	 2.432100098E+03
 5.717438570E+02	 2.417600098E+03
 5.764519967E+02	 2.405399902E+03
 5.811577118E+02	 2.422000000E+03
 5.858610033E+02	 2.633500000E+03
 5.905618725E+02	 2.520000000E+03
 5.952603202E+02	 2.401899902E+03
 5.999563477E+02	 2.396800049E+03
 6.046499559E+02	 2.424199951E+03
 6.093411461E+02	 2.408300049E+03
 6.140299193E+02	 2.295399902E+03
 6.187162766E+02	 2.192100098E+03
 6.234002191E+02	 2.114300049E+03
 6.280817479E+02	 2.068300049E+03
 6.327608642E+02	 2.016699951E+03
 6.374375690E+02	 2.005699951E+03
 6.421118636E+02	 1.983199951E+03
 6.467837489E+02	 1.972099976E+03
 6.514532263E+02	 1.945800049E+03
 6.561202967E+02	 1.940000000E+03
 6.607849614E+02	 1.950199951E+03
 6.654472214E+02	 1.936400024E+03
 6.701070780E+02	 1.942900024E+03
 6.747645323E+02	 1.943000000E+03
 6.794195855E+02	 1.939500000E+03
 6.840722386E+02	 1.939500000E+03
 6.887224930E+02	 1.929000000E+03
 6.933703497E+02	 1.929400024E+03
 6.980158099E+02	 1.933800049E+03
 7.026588748E+02	 1.920699951E+03
 7.072995457E+02	 1.918599976E+03
 7.119378236E+02	 1.930199951E+03
 7.165737098E+02	 1.911099976E+03
 7.212072054E+02	 1.923699951E+03
 7.258383117E+02	 1.920199951E+03
 7.304670299E+02	 1.915599976E+03
 7.350933611E+02	 1.905500000E+03
 7.397173066E+02	 1.918400024E+03
 7.443388676E+02	 1.905300049E+03
 7.489580453E+02	 1.907300049E+03
 7.535748409E+02	 1.913000000E+03
 7.581892557E+02	 1.902300049E+03
 7.628012909E+02	 1.912500000E+03
 7.674109476E+02	 1.903599976E+03
 7.720182272E+02	 1.906900024E+03
 7.766231309E+02	 1.893000000E+03
 7.812256599E+02	 1.893099976E+03
 7.858258154E+02	 1.899500000E+03
 7.904235988E+02	 1.911900024E+03
 7.950190112E+02	 1.911699951E+03
 7.996120539E+02	 1.937800049E+03
 8.042027282E+02	 1.994800049E+03
 8.087910353E+02	 2.061500000E+03
 8.133769766E+02	 2.238100098E+03
 8.179605532E+02	 2.657300049E+03
 8.225417664E+02	 3.348399902E+03
 8.271206175E+02	 3.722199951E+03
 8.316971078E+02	 3.341399902E+03
 8.362712385E+02	 2.783399902E+03
 8.408430111E+02	 2.549699951E+03
 8.454124266E+02	 2.585600098E+03
 8.499794864E+02	 2.973000000E+03
 8.545441919E+02	 3.592600098E+03
 8.591065442E+02	 3.898899902E+03
 8.636665448E+02	 3.488000000E+03
 8.682241949E+02	 2.841500000E+03
 8.727794957E+02	 2.438000000E+03
 8.773324487E+02	 2.287699951E+03
 8.818830551E+02	 2.255699951E+03
 8.864313162E+02	 2.245000000E+03
 8.909772334E+02	 2.168500000E+03
 8.955208079E+02	 2.081100098E+03
 9.000620411E+02	 2.051600098E+03
 9.046009344E+02	 2.042400024E+03
 9.091374889E+02	 2.050899902E+03
 9.136717061E+02	 2.058600098E+03
 9.182035873E+02	 2.087399902E+03
 9.227331339E+02	 2.092100098E+03
 9.272603471E+02	 2.102600098E+03
 9.317852282E+02	 2.101000000E+03
 9.363077788E+02	 2.116300049E+03
 9.408280000E+02	 2.156000000E+03
 9.453458932E+02	 2.199399902E+03
 9.498614598E+02	 2.225199951E+03
 9.543747012E+02	 2.296500000E+03
 9.588856186E+02	 2.379399902E+03
 9.633942135E+02	 2.419500000E+03
 9.679004872E+02	 2.402899902E+03
 9.724044410E+02	 2.359100098E+03
 9.769060763E+02	 2.345000000E+03
 9.814053946E+02	 2.298500000E+03
 9.859023970E+02	 2.280000000E+03
 9.903970852E+02	 2.249800049E+03
 9.948894603E+02	 2.268399902E+03
 9.993795238E+02	 2.249000000E+03
 1.003867277E+03	 2.241500000E+03
 1.008352721E+03	 2.235199951E+03
 1.012835858E+03	 2.215300049E+03
 1.017316689E+03	 2.200399902E+03
 1.021795215E+03	 2.176000000E+03
 1.026271438E+03	 2.162300049E+03
 1.030745358E+03	 2.124000000E+03
 1.035216979E+03	 2.101500000E+03
 1.039686300E+03	 2.070500000E+03
 1.044153323E+03	 2.058199951E+03
 1.048618050E+03	 2.030599976E+03
 1.053080482E+03	 2.001800049E+03
 1.057540620E+03	 1.970300049E+03
 1.061998466E+03	 1.943800049E+03
 1.066454022E+03	 1.920300049E+03
 1.070907288E+03	 1.881099976E+03
 1.075358266E+03	 1.855400024E+03
 1.079806958E+03	 1.828900024E+03
 1.084253364E+03	 1.808900024E+03
 1.088697487E+03	 1.787500000E+03
 1.093139327E+03	 1.762699951E+03
 1.097578887E+03	 1.751199951E+03
 1.102016167E+03	 1.720599976E+03
 1.106451169E+03	 1.701900024E+03
 1.110883895E+03	 1.690400024E+03
 1.115314345E+03	 1.654699951E+03
 1.119742522E+03	 1.629800049E+03
 1.124168426E+03	 1.622900024E+03
 1.128592060E+03	 1.623599976E+03
 1.133013424E+03	 1.601000000E+03
 1.137432520E+03	 1.599699951E+03
 1.141849349E+03	 1.567000000E+03
 1.146263913E+03	 1.569000000E+03
 1.150676214E+03	 1.543800049E+03
 1.155086252E+03	 1.548300049E+03
 1.159494029E+03	 1.528900024E+03
 1.163899547E+03	 1.505599976E+03
 1.168302807E+03	 1.493099976E+03
 1.172703810E+03	 1.479500000E+03
 1.177102559E+03	 1.468000000E+03
 1.181499054E+03	 1.445099976E+03
 1.185893296E+03	 1.441300049E+03
 1.190285288E+03	 1.427199951E+03
 1.194675031E+03	 1.408900024E+03
 1.199062526E+03	 1.405500000E+03
 1.203447774E+03	 1.399599976E+03
 1.207830778E+03	 1.394699951E+03
 1.212211538E+03	 1.370300049E+03
 1.216590056E+03	 1.381699951E+03
 1.220966334E+03	 1.374000000E+03
