X-Axis	CC9_MI1_H2O_50X
 5.874196431E+01	 8.300999756E+02
 6.371206119E+01	 1.400099976E+03
 6.867965313E+01	 3.053500000E+03
 7.364474049E+01	 4.668399902E+03
 7.860732366E+01	 5.209600098E+03
 8.356740304E+01	 5.339500000E+03
 8.852497903E+01	 5.408899902E+03
 9.348005205E+01	 5.432700195E+03
 9.843262250E+01	 5.410899902E+03
 1.033826908E+02	 5.437500000E+03
 1.083302575E+02	 5.374600098E+03
 1.132753228E+02	 5.291799805E+03
 1.182178874E+02	 5.259399902E+03
 1.231579517E+02	 5.282399902E+03
 1.280955161E+02	 5.241299805E+03
 1.330305811E+02	 5.127899902E+03
 1.379631473E+02	 5.021299805E+03
 1.428932150E+02	 4.942899902E+03
 1.478207848E+02	 4.940100098E+03
 1.527458573E+02	 4.939799805E+03
 1.576684328E+02	 4.886799805E+03
 1.625885121E+02	 4.817399902E+03
 1.675060955E+02	 4.673700195E+03
 1.724211837E+02	 4.619200195E+03
 1.773337772E+02	 4.536500000E+03
 1.822438765E+02	 4.513200195E+03
 1.871514822E+02	 4.486500000E+03
 1.920565950E+02	 4.433799805E+03
 1.969592153E+02	 4.373500000E+03
 2.018593437E+02	 4.279399902E+03
 2.067569809E+02	 4.199500000E+03
 2.116521275E+02	 4.169799805E+03
 2.165447841E+02	 4.149399902E+03
 2.214349512E+02	 4.129100098E+03
 2.263226296E+02	 4.125399902E+03
 2.312078198E+02	 4.109600098E+03
 2.360905225E+02	 4.056199951E+03
 2.409707384E+02	 4.035600098E+03
 2.458484680E+02	 3.998300049E+03
 2.507237122E+02	 3.964500000E+03
 2.555964714E+02	 3.928899902E+03
 2.604667465E+02	 3.929500000E+03
 2.653345381E+02	 3.916300049E+03
 2.701998469E+02	 3.931399902E+03
 2.750626735E+02	 3.942199951E+03
 2.799230188E+02	 3.914199951E+03
 2.847808833E+02	 3.917100098E+03
 2.896362679E+02	 3.897899902E+03
 2.944891732E+02	 3.863399902E+03
 2.993396000E+02	 3.871500000E+03
 3.041875491E+02	 3.870100098E+03
 3.090330211E+02	 3.865399902E+03
 3.138760168E+02	 3.841699951E+03
 3.187165370E+02	 3.862300049E+03
 3.235545825E+02	 3.860000000E+03
 3.283901540E+02	 3.838300049E+03
 3.332232523E+02	 3.839000000E+03
 3.380538782E+02	 3.845899902E+03
 3.428820325E+02	 3.852300049E+03
 3.477077159E+02	 3.887300049E+03
 3.525309293E+02	 3.925899902E+03
 3.573516736E+02	 3.919500000E+03
