X-Axis	CC4_MI1_H2O
 5.874196431E+01	 7.972999878E+02
 6.371206119E+01	 1.110599976E+03
 6.867965313E+01	 2.049300049E+03
 7.364474049E+01	 2.978899902E+03
 7.860732366E+01	 3.317100098E+03
 8.356740304E+01	 3.410899902E+03
 8.852497903E+01	 3.461399902E+03
 9.348005205E+01	 3.464000000E+03
 9.843262250E+01	 3.478399902E+03
 1.033826908E+02	 3.475000000E+03
 1.083302575E+02	 3.470800049E+03
 1.132753228E+02	 3.456699951E+03
 1.182178874E+02	 3.426399902E+03
 1.231579517E+02	 3.438600098E+03
 1.280955161E+02	 3.427800049E+03
 1.330305811E+02	 3.404800049E+03
 1.379631473E+02	 3.316399902E+03
 1.428932150E+02	 3.269899902E+03
 1.478207848E+02	 3.299100098E+03
 1.527458573E+02	 3.301600098E+03
 1.576684328E+02	 3.270300049E+03
 1.625885121E+02	 3.244300049E+03
 1.675060955E+02	 3.168000000E+03
 1.724211837E+02	 3.117500000E+03
 1.773337772E+02	 3.096399902E+03
 1.822438765E+02	 3.054600098E+03
 1.871514822E+02	 3.048899902E+03
 1.920565950E+02	 3.041199951E+03
 1.969592153E+02	 3.023399902E+03
 2.018593437E+02	 2.961600098E+03
 2.067569809E+02	 2.928300049E+03
 2.116521275E+02	 2.902000000E+03
 2.165447841E+02	 2.894600098E+03
 2.214349512E+02	 2.914000000E+03
 2.263226296E+02	 2.904399902E+03
 2.312078198E+02	 2.894100098E+03
 2.360905225E+02	 2.837199951E+03
 2.409707384E+02	 2.825399902E+03
 2.458484680E+02	 2.782500000E+03
 2.507237122E+02	 2.764600098E+03
 2.555964714E+02	 2.749800049E+03
 2.604667465E+02	 2.746600098E+03
 2.653345381E+02	 2.738699951E+03
 2.701998469E+02	 2.752899902E+03
 2.750626735E+02	 2.761300049E+03
 2.799230188E+02	 2.746899902E+03
 2.847808833E+02	 2.733100098E+03
 2.896362679E+02	 2.742500000E+03
 2.944891732E+02	 2.730000000E+03
 2.993396000E+02	 2.743300049E+03
 3.041875491E+02	 2.750399902E+03
 3.090330211E+02	 2.743500000E+03
 3.138760168E+02	 2.751199951E+03
 3.187165370E+02	 2.744100098E+03
 3.235545825E+02	 2.768100098E+03
 3.283901540E+02	 2.742100098E+03
 3.332232523E+02	 2.706199951E+03
 3.380538782E+02	 2.701100098E+03
 3.428820325E+02	 2.703300049E+03
 3.477077159E+02	 2.697300049E+03
 3.525309293E+02	 2.700399902E+03
 3.573516736E+02	 2.708399902E+03
 3.621699494E+02	 2.704699951E+03
 3.669857577E+02	 2.718600098E+03
 3.717990992E+02	 2.756300049E+03
 3.766099749E+02	 2.743100098E+03
 3.814183855E+02	 2.750500000E+03
 3.862243319E+02	 2.753500000E+03
 3.910278150E+02	 2.756500000E+03
 3.958288355E+02	 2.765199951E+03
 4.006273945E+02	 2.772500000E+03
 4.054234927E+02	 2.819899902E+03
 4.102171310E+02	 2.826199951E+03
 4.150083103E+02	 2.840800049E+03
 4.197970316E+02	 2.853199951E+03
 4.245832956E+02	 2.874199951E+03
 4.293671033E+02	 2.878399902E+03
 4.341484557E+02	 2.884899902E+03
 4.389273536E+02	 2.912800049E+03
 4.437037979E+02	 2.936199951E+03
 4.484777896E+02	 2.932199951E+03
 4.532493296E+02	 2.936899902E+03
 4.580184188E+02	 2.960199951E+03
 4.627850582E+02	 2.969399902E+03
 4.675492487E+02	 2.972100098E+03
 4.723109913E+02	 3.007600098E+03
 4.770702869E+02	 2.994899902E+03
 4.818271365E+02	 3.023899902E+03
 4.865815411E+02	 3.026500000E+03
 4.913335016E+02	 3.029800049E+03
 4.960830191E+02	 3.040899902E+03
 5.008300944E+02	 3.030399902E+03
 5.055747286E+02	 3.047699951E+03
 5.103169227E+02	 3.052399902E+03
 5.150566777E+02	 3.001600098E+03
 5.197939945E+02	 2.987800049E+03
 5.245288743E+02	 2.921399902E+03
 5.292613180E+02	 2.877899902E+03
 5.339913266E+02	 2.865000000E+03
 5.387189012E+02	 2.788800049E+03
 5.434440427E+02	 2.761399902E+03
 5.481667523E+02	 2.707300049E+03
 5.528870309E+02	 2.640399902E+03
 5.576048796E+02	 2.600300049E+03
 5.623202995E+02	 2.559600098E+03
 5.670332916E+02	 2.529600098E+03
 5.717438570E+02	 2.488100098E+03
 5.764519967E+02	 2.487300049E+03
 5.811577118E+02	 2.465899902E+03
 5.858610033E+02	 2.455600098E+03
 5.905618725E+02	 2.460300049E+03
 5.952603202E+02	 2.400399902E+03
 5.999563477E+02	 2.354899902E+03
 6.046499559E+02	 2.291199951E+03
 6.093411461E+02	 2.249300049E+03
 6.140299193E+02	 2.209500000E+03
 6.187162766E+02	 2.173600098E+03
 6.234002191E+02	 2.150199951E+03
 6.280817479E+02	 2.125800049E+03
 6.327608642E+02	 2.089500000E+03
 6.374375690E+02	 2.072399902E+03
 6.421118636E+02	 2.077699951E+03
 6.467837489E+02	 2.060500000E+03
 6.514532263E+02	 2.053199951E+03
 6.561202967E+02	 2.065300049E+03
 6.607849614E+02	 2.046199951E+03
 6.654472214E+02	 2.036699951E+03
 6.701070780E+02	 2.047800049E+03
 6.747645323E+02	 2.038599976E+03
 6.794195855E+02	 2.036300049E+03
 6.840722386E+02	 2.023199951E+03
 6.887224930E+02	 2.029000000E+03
 6.933703497E+02	 2.013199951E+03
 6.980158099E+02	 2.019699951E+03
 7.026588748E+02	 2.026500000E+03
 7.072995457E+02	 2.013199951E+03
 7.119378236E+02	 2.008099976E+03
 7.165737098E+02	 2.005699951E+03
 7.212072054E+02	 2.016099976E+03
 7.258383117E+02	 1.994500000E+03
 7.304670299E+02	 2.003300049E+03
 7.350933611E+02	 2.004900024E+03
 7.397173066E+02	 1.996699951E+03
 7.443388676E+02	 2.002500000E+03
 7.489580453E+02	 1.990900024E+03
 7.535748409E+02	 1.981699951E+03
 7.581892557E+02	 1.980099976E+03
 7.628012909E+02	 1.981000000E+03
 7.674109476E+02	 1.969000000E+03
 7.720182272E+02	 1.979500000E+03
 7.766231309E+02	 1.971699951E+03
 7.812256599E+02	 1.958300049E+03
