X-Axis	MS13_2_MI1_H2O
 5.874196431E+01	 8.037000122E+02
 6.371206119E+01	 1.152400024E+03
 6.867965313E+01	 2.369500000E+03
 7.364474049E+01	 3.774100098E+03
 7.860732366E+01	 4.432700195E+03
 8.356740304E+01	 4.579700195E+03
 8.852497903E+01	 4.661799805E+03
 9.348005205E+01	 4.719200195E+03
 9.843262250E+01	 4.719799805E+03
 1.033826908E+02	 4.717399902E+03
 1.083302575E+02	 4.700299805E+03
 1.132753228E+02	 4.668899902E+03
 1.182178874E+02	 4.657200195E+03
 1.231579517E+02	 4.657500000E+03
 1.280955161E+02	 4.627500000E+03
 1.330305811E+02	 4.560299805E+03
 1.379631473E+02	 4.441500000E+03
 1.428932150E+02	 4.387700195E+03
 1.478207848E+02	 4.402700195E+03
 1.527458573E+02	 4.387899902E+03
 1.576684328E+02	 4.363100098E+03
 1.625885121E+02	 4.294000000E+03
 1.675060955E+02	 4.208799805E+03
 1.724211837E+02	 4.113000000E+03
 1.773337772E+02	 4.111200195E+03
 1.822438765E+02	 4.088399902E+03
 1.871514822E+02	 4.056199951E+03
 1.920565950E+02	 4.013699951E+03
 1.969592153E+02	 3.979000000E+03
 2.018593437E+02	 3.930699951E+03
 2.067569809E+02	 3.872100098E+03
 2.116521275E+02	 3.823199951E+03
 2.165447841E+02	 3.817199951E+03
 2.214349512E+02	 3.817600098E+03
 2.263226296E+02	 3.825500000E+03
 2.312078198E+02	 3.817600098E+03
 2.360905225E+02	 3.746899902E+03
 2.409707384E+02	 3.746100098E+03
 2.458484680E+02	 3.692399902E+03
 2.507237122E+02	 3.654899902E+03
 2.555964714E+02	 3.644100098E+03
 2.604667465E+02	 3.676600098E+03
 2.653345381E+02	 3.649100098E+03
 2.701998469E+02	 3.661800049E+03
 2.750626735E+02	 3.636600098E+03
 2.799230188E+02	 3.645899902E+03
 2.847808833E+02	 3.622600098E+03
 2.896362679E+02	 3.620600098E+03
 2.944891732E+02	 3.600399902E+03
 2.993396000E+02	 3.589800049E+03
 3.041875491E+02	 3.593300049E+03
 3.090330211E+02	 3.595100098E+03
 3.138760168E+02	 3.613199951E+03
 3.187165370E+02	 3.575100098E+03
 3.235545825E+02	 3.569899902E+03
 3.283901540E+02	 3.588600098E+03
 3.332232523E+02	 3.580399902E+03
 3.380538782E+02	 3.570500000E+03
 3.428820325E+02	 3.610000000E+03
 3.477077159E+02	 3.622500000E+03
 3.525309293E+02	 3.660000000E+03
 3.573516736E+02	 3.690399902E+03
 3.621699494E+02	 3.751500000E+03
 3.669857577E+02	 3.795699951E+03
 3.717990992E+02	 3.880899902E+03
 3.766099749E+02	 3.907699951E+03
 3.814183855E+02	 3.954100098E+03
 3.862243319E+02	 4.047399902E+03
 3.910278150E+02	 4.052000000E+03
 3.958288355E+02	 4.147500000E+03
 4.006273945E+02	 4.135100098E+03
 4.054234927E+02	 4.215399902E+03
 4.102171310E+02	 4.228700195E+03
 4.150083103E+02	 4.278299805E+03
 4.197970316E+02	 4.257700195E+03
 4.245832956E+02	 4.223399902E+03
 4.293671033E+02	 4.200200195E+03
 4.341484557E+02	 4.175700195E+03
 4.389273536E+02	 4.163299805E+03
 4.437037979E+02	 4.161700195E+03
 4.484777896E+02	 4.081000000E+03
 4.532493296E+02	 4.034699951E+03
 4.580184188E+02	 4.012899902E+03
