SN:0141335,,
Time/s,Pressure/MPa,Temperature/°C
0.00,6.0427,31.9
3.00,6.0437,31.9
6.00,6.0626,31.9
9.00,6.1140,31.9
12.00,6.1407,31.9
15.00,6.1522,31.9
18.00,6.1818,31.9
21.00,6.1785,31.9
24.00,6.1932,31.9
27.00,6.1951,31.9
30.00,6.1940,31.9
33.00,6.2111,31.9
36.00,6.2205,31.9
39.00,6.2089,31.9
42.00,6.2530,31.9
45.00,6.2426,31.9
48.00,6.2763,31.9
51.00,6.2933,31.9
54.00,6.2741,31.9
56.99,6.3083,31.9
60.00,6.2820,31.9
63.00,6.3233,31.9
66.00,6.3520,31.9
69.00,6.3389,31.9
71.99,6.3591,31.9
75.00,6.4099,31.9
78.00,6.5368,31.9
80.99,7.3600,31.9
84.00,7.1428,31.9
87.00,7.1300,31.9
90.00,7.1320,31.9
93.00,7.1373,31.9
96.00,7.1446,31.9
99.00,7.1485,31.9
102.00,7.1536,31.9
105.00,7.1557,31.9
108.00,7.1575,31.9
111.00,7.1583,31.9
114.00,7.1590,31.9
117.00,7.1591,31.9
120.00,7.1590,31.9
123.00,7.1587,31.9
126.00,7.1584,31.9
129.00,7.1573,31.9
132.00,7.1562,31.9
135.00,7.1553,31.9
138.00,7.1551,31.9
140.99,7.1551,31.9
143.99,7.1544,31.9
146.99,7.1533,31.9
149.99,6.1316,31.9
152.99,6.2194,31.9
155.99,6.2546,31.9
159.00,6.2988,31.9
161.99,6.3040,31.9
164.99,6.3188,31.9
168.00,6.3118,31.9
171.00,6.3139,31.9
174.00,6.3154,31.9
176.99,6.3767,31.9
179.99,6.3974,31.9
182.99,6.4008,31.9
185.99,6.3808,31.9
189.00,6.4441,31.9
192.00,6.3952,31.9
195.00,6.4373,31.9
198.00,6.4586,31.9
200.99,6.5365,31.9
203.99,6.5003,31.9
206.99,6.6290,31.9
209.99,7.4348,31.9
212.99,9.8800,31.9
215.99,12.8831,31.9
218.99,16.6363,31.9
222.00,20.5506,31.9
225.00,25.0330,31.9
227.99,32.3062,31.9
230.99,41.7209,32.0
233.99,45.9100,32.0
236.99,52.0315,32.0
239.99,57.5481,32.0
242.99,59.1844,32.0
245.99,59.9714,32.1
248.99,59.7083,32.1
251.99,59.5349,32.1
254.99,59.4013,32.1
257.99,60.0544,32.1
260.99,59.9613,32.1
263.99,59.8981,32.1
266.99,59.8555,32.1
269.99,59.8200,32.1
272.99,59.7914,32.1
275.99,59.7615,32.1
278.99,59.7376,32.1
281.99,59.7143,32.1
284.99,59.6918,32.1
287.99,59.6723,32.1
290.99,59.6561,32.1
293.99,59.6396,32.1
296.99,59.6266,32.1
299.99,59.6132,32.1
303.00,59.6016,32.1
306.00,59.5907,32.1
309.00,59.5838,32.1
312.00,59.5778,32.1
315.00,6.2934,32.1
318.00,6.3306,32.1
321.00,6.2960,32.1
324.00,6.2551,32.1
327.00,6.2422,32.0
330.00,6.2690,32.0
333.00,6.3354,32.0
336.00,6.3874,32.0
339.00,6.4469,32.0
342.00,6.4811,32.0
345.00,6.5414,32.0
348.00,6.5736,32.0
351.00,6.4996,32.0
354.00,6.5883,31.9
357.00,6.5507,31.9
360.00,6.6088,31.9
363.00,6.8544,31.9
366.00,7.1222,31.9
369.00,7.8109,31.9
372.00,9.0118,31.9
375.00,11.0306,31.9
378.00,14.3829,31.9
381.00,16.0268,31.9
384.00,18.0440,31.9
387.00,19.5097,32.0
390.00,24.0245,32.0
393.00,26.3418,32.0
