P_kbar,T_K,XH2O,V
1,300,0,54.63203512
1,300,0.025641026,15.65099171
1,300,0.051282051,49.51709083
1,300,0.076923077,-119.6491793
1,300,0.102564103,17.5088726
1,300,0.128205128,27.83669779
1,300,0.153846154,38.8545448
1,300,0.179487179,32.39171524
1,300,0.205128205,28.33794316
1,300,0.230769231,25.24133334
1,300,0.256410256,22.71429085
1,300,0.282051282,20.57935076
1,300,0.307692308,18.73564662
1,300,0.333333333,17.11835586
1,300,0.358974359,15.6821777
1,300,0.384615385,14.3931904
1,300,0.41025641,13.22418247
1,300,0.435897436,12.15143819
1,300,0.461538462,11.15188899
1,300,0.487179487,10.19952987
1,300,0.512820513,9.25878502
1,300,0.538461538,8.26690911
1,300,0.564102564,7.05899734
1,300,0.58974359,106.2373854
1,300,0.615384615,106.689297
1,300,0.641025641,106.8439878
1,300,0.666666667,106.6830983
1,300,0.692307692,106.184347
1,300,0.717948718,105.320576
1,300,0.743589744,104.0584265
1,300,0.769230769,102.3564492
1,300,0.794871795,100.1623536
1,300,0.820512821,-15.73941983
1,300,0.846153846,-16.64531986
1,300,0.871794872,-17.65114672
1,300,0.897435897,-18.78487351
1,300,0.923076923,-20.08301439
1,300,0.948717949,-21.59361885
1,300,0.974358974,-23.3794722
1,300,1,-25.52213692
1,343.5897436,0,65.28537312
1,343.5897436,0.025641026,12.59051601
1,343.5897436,0.051282051,35.03252863
1,343.5897436,0.076923077,29.13749418
1,343.5897436,0.102564103,25.43770063
1,343.5897436,0.128205128,22.68280987
1,343.5897436,0.153846154,20.47466137
1,343.5897436,0.179487179,94.0504906
1,343.5897436,0.205128205,97.78540548
1,343.5897436,0.230769231,101.1332555
1,343.5897436,0.256410256,104.1473918
1,343.5897436,0.282051282,106.8645518
1,343.5897436,0.307692308,109.3105889
1,343.5897436,0.333333333,111.5038284
1,343.5897436,0.358974359,113.4571378
1,343.5897436,0.384615385,115.1792464
1,343.5897436,0.41025641,116.6756052
1,343.5897436,0.435897436,117.948948
1,343.5897436,0.461538462,118.9996496
1,343.5897436,0.487179487,119.8259376
1,343.5897436,0.512820513,120.423983
1,343.5897436,0.538461538,120.7879029
1,343.5897436,0.564102564,120.909664
1,343.5897436,0.58974359,120.7788951
1,343.5897436,0.615384615,120.3825928
1,343.5897436,0.641025641,119.7046962
1,343.5897436,0.666666667,118.7254952
1,343.5897436,0.692307692,117.4208098
1,343.5897436,0.717948718,115.7608489
1,343.5897436,0.743589744,113.7086042
1,343.5897436,0.769230769,111.2175238
1,343.5897436,0.794871795,108.2280758
1,343.5897436,0.820512821,104.6624409
1,343.5897436,0.846153846,100.4159322
1,343.5897436,0.871794872,95.34219025
1,343.5897436,0.897435897,89.22524033
1,343.5897436,0.923076923,81.71927417
1,343.5897436,0.948717949,72.18748455
1,343.5897436,0.974358974,59.04400409
1,343.5897436,1,17.69254844
1,387.1794872,0,61.82157674
1,387.1794872,0.025641026,35.11371325
1,387.1794872,0.051282051,26.77520997
1,387.1794872,0.076923077,68.96068947
1,387.1794872,0.102564103,74.52824269
1,387.1794872,0.128205128,79.07995367
1,387.1794872,0.153846154,82.93920493
1,387.1794872,0.179487179,86.2808164
1,387.1794872,0.205128205,89.21101617
1,387.1794872,0.230769231,91.79921001
1,387.1794872,0.256410256,94.09298034
1,387.1794872,0.282051282,96.1260042
1,387.1794872,0.307692308,97.92258395
1,387.1794872,0.333333333,99.50039588
1,387.1794872,0.358974359,100.8722326
1,387.1794872,0.384615385,102.0471429
1,387.1794872,0.41025641,103.0311936
1,387.1794872,0.435897436,103.8279747
1,387.1794872,0.461538462,104.4389402
1,387.1794872,0.487179487,104.8636132
1,387.1794872,0.512820513,105.0996951
1,387.1794872,0.538461538,105.1430903
1,387.1794872,0.564102564,104.987852
1,387.1794872,0.58974359,104.6260495
1,387.1794872,0.615384615,104.0475461
1,387.1794872,0.641025641,103.2396707
1,387.1794872,0.666666667,102.1867515
1,387.1794872,0.692307692,100.8694657
1,387.1794872,0.717948718,99.26392682
1,387.1794872,0.743589744,97.34039131
1,387.1794872,0.769230769,95.06138005
1,387.1794872,0.794871795,92.37886826
1,387.1794872,0.820512821,89.22990497
1,387.1794872,0.846153846,85.52940814
1,387.1794872,0.871794872,81.15742615
1,387.1794872,0.897435897,75.93420978
1,387.1794872,0.923076923,69.56358858
1,387.1794872,0.948717949,61.46898651
1,387.1794872,0.974358974,50.02568236
1,387.1794872,1,18.22985757
1,430.7692308,0,43.73123513
1,430.7692308,0.025641026,53.43336229
1,430.7692308,0.051282051,60.03945174
1,430.7692308,0.076923077,65.08855468
1,430.7692308,0.102564103,69.17395617
1,430.7692308,0.128205128,72.5901516
1,430.7692308,0.153846154,75.50556644
1,430.7692308,0.179487179,78.02562744
1,430.7692308,0.205128205,80.22054793
1,430.7692308,0.230769231,82.13919971
1,430.7692308,0.256410256,83.8166914
1,430.7692308,0.282051282,85.27879924
1,430.7692308,0.307692308,86.54469889
1,430.7692308,0.333333333,87.62871467
1,430.7692308,0.358974359,88.54148612
1,430.7692308,0.384615385,89.29075309
1,430.7692308,0.41025641,89.88189703
1,430.7692308,0.435897436,90.31831229
1,430.7692308,0.461538462,90.60165567
1,430.7692308,0.487179487,90.73200406
1,430.7692308,0.512820513,90.70793835
1,430.7692308,0.538461538,90.52656347
1,430.7692308,0.564102564,90.1834681
1,430.7692308,0.58974359,89.67262204
1,430.7692308,0.615384615,88.98620345
1,430.7692308,0.641025641,88.11434064
1,430.7692308,0.666666667,87.04474358
1,430.7692308,0.692307692,85.76218531
1,430.7692308,0.717948718,84.24776968
1,430.7692308,0.743589744,82.4778818
1,430.7692308,0.769230769,80.42264582
1,430.7692308,0.794871795,78.04357913
1,430.7692308,0.820512821,75.28985539
1,430.7692308,0.846153846,72.09197776
1,430.7692308,0.871794872,68.35015396
1,430.7692308,0.897435897,63.91037008
1,430.7692308,0.923076923,58.50623722
1,430.7692308,0.948717949,51.57389112
1,430.7692308,0.974358974,41.22088884
1,430.7692308,1,18.84190176
1,474.3589744,0,52.63311527
1,474.3589744,0.025641026,56.8440154
1,474.3589744,0.051282051,60.3986424
1,474.3589744,0.076923077,63.41612708
1,474.3589744,0.102564103,65.99985419
1,474.3589744,0.128205128,68.22841665
1,474.3589744,0.153846154,70.16008032
1,474.3589744,0.179487179,71.83820996
1,474.3589744,0.205128205,73.29546257
1,474.3589744,0.230769231,74.5567387
1,474.3589744,0.256410256,75.64121982
1,474.3589744,0.282051282,76.56377976
1,474.3589744,0.307692308,77.33597305
1,474.3589744,0.333333333,77.96673526
1,474.3589744,0.358974359,78.46288403
1,474.3589744,0.384615385,78.82947921
1,474.3589744,0.41025641,79.07008071
1,474.3589744,0.435897436,79.18692975
1,474.3589744,0.461538462,79.18107063
1,474.3589744,0.487179487,79.05242354
1,474.3589744,0.512820513,78.79981515
1,474.3589744,0.538461538,78.42096931
1,474.3589744,0.564102564,77.91245753
1,474.3589744,0.58974359,77.269605
1,474.3589744,0.615384615,76.4863441
1,474.3589744,0.641025641,75.55500145
1,474.3589744,0.666666667,74.46599651
1,474.3589744,0.692307692,73.20741665
1,474.3589744,0.717948718,71.76441239
1,474.3589744,0.743589744,70.11831891
1,474.3589744,0.769230769,68.24534185
1,474.3589744,0.794871795,66.11451166
1,474.3589744,0.820512821,63.68433194
1,474.3589744,0.846153846,60.89691052
1,474.3589744,0.871794872,57.66674319
