,P_kbar,T_K,XH2O,V
0,1.0,300.0,0.0,54.63203512
1,1.0,300.0,0.025641026,15.65099171
2,1.0,300.0,0.051282051,49.51709083
4,1.0,300.0,0.102564103,17.5088726
5,1.0,300.0,0.128205128,27.83669779
6,1.0,300.0,0.153846154,38.8545448
7,1.0,300.0,0.179487179,32.39171524
8,1.0,300.0,0.205128205,28.33794316
9,1.0,300.0,0.230769231,25.24133334
10,1.0,300.0,0.256410256,22.71429085
11,1.0,300.0,0.282051282,20.57935076
12,1.0,300.0,0.307692308,18.73564662
13,1.0,300.0,0.333333333,17.11835586
14,1.0,300.0,0.358974359,15.6821777
15,1.0,300.0,0.384615385,14.3931904
16,1.0,300.0,0.41025641,13.22418247
17,1.0,300.0,0.435897436,12.15143819
18,1.0,300.0,0.461538462,11.15188899
19,1.0,300.0,0.487179487,10.19952987
20,1.0,300.0,0.512820513,9.25878502
21,1.0,300.0,0.538461538,8.26690911
22,1.0,300.0,0.564102564,7.05899734
23,1.0,300.0,0.58974359,106.2373854
24,1.0,300.0,0.615384615,106.689297
25,1.0,300.0,0.641025641,106.8439878
26,1.0,300.0,0.666666667,106.6830983
27,1.0,300.0,0.692307692,106.184347
28,1.0,300.0,0.717948718,105.320576
29,1.0,300.0,0.743589744,104.0584265
30,1.0,300.0,0.769230769,102.3564492
31,1.0,300.0,0.794871795,100.1623536
40,1.0,343.5897436,0.0,65.28537312
41,1.0,343.5897436,0.025641026,12.59051601
42,1.0,343.5897436,0.051282051,35.03252863
43,1.0,343.5897436,0.076923077,29.13749418
44,1.0,343.5897436,0.102564103,25.43770063
45,1.0,343.5897436,0.128205128,22.68280987
46,1.0,343.5897436,0.153846154,20.47466137
47,1.0,343.5897436,0.179487179,94.0504906
48,1.0,343.5897436,0.205128205,97.78540548
49,1.0,343.5897436,0.230769231,101.1332555
50,1.0,343.5897436,0.256410256,104.1473918
51,1.0,343.5897436,0.282051282,106.8645518
52,1.0,343.5897436,0.307692308,109.3105889
53,1.0,343.5897436,0.333333333,111.5038284
54,1.0,343.5897436,0.358974359,113.4571378
55,1.0,343.5897436,0.384615385,115.1792464
56,1.0,343.5897436,0.41025641,116.6756052
57,1.0,343.5897436,0.435897436,117.948948
58,1.0,343.5897436,0.461538462,118.9996496
59,1.0,343.5897436,0.487179487,119.8259376
60,1.0,343.5897436,0.512820513,120.423983
61,1.0,343.5897436,0.538461538,120.7879029
62,1.0,343.5897436,0.564102564,120.909664
63,1.0,343.5897436,0.58974359,120.7788951
64,1.0,343.5897436,0.615384615,120.3825928
65,1.0,343.5897436,0.641025641,119.7046962
66,1.0,343.5897436,0.666666667,118.7254952
67,1.0,343.5897436,0.692307692,117.4208098
68,1.0,343.5897436,0.717948718,115.7608489
69,1.0,343.5897436,0.743589744,113.7086042
70,1.0,343.5897436,0.769230769,111.2175238
71,1.0,343.5897436,0.794871795,108.2280758
72,1.0,343.5897436,0.820512821,104.6624409
73,1.0,343.5897436,0.846153846,100.4159322
74,1.0,343.5897436,0.871794872,95.34219025
75,1.0,343.5897436,0.897435897,89.22524033
76,1.0,343.5897436,0.923076923,81.71927417
77,1.0,343.5897436,0.948717949,72.18748455
78,1.0,343.5897436,0.974358974,59.04400409
79,1.0,343.5897436,1.0,17.69254844
80,1.0,387.1794872,0.0,61.82157674
81,1.0,387.1794872,0.025641026,35.11371325
82,1.0,387.1794872,0.051282051,26.77520997
83,1.0,387.1794872,0.076923077,68.96068947
84,1.0,387.1794872,0.102564103,74.52824269
85,1.0,387.1794872,0.128205128,79.07995367
86,1.0,387.1794872,0.153846154,82.93920493
87,1.0,387.1794872,0.179487179,86.2808164
88,1.0,387.1794872,0.205128205,89.21101617
89,1.0,387.1794872,0.230769231,91.79921001
90,1.0,387.1794872,0.256410256,94.09298034
91,1.0,387.1794872,0.282051282,96.1260042
92,1.0,387.1794872,0.307692308,97.92258395
93,1.0,387.1794872,0.333333333,99.50039588
94,1.0,387.1794872,0.358974359,100.8722326
95,1.0,387.1794872,0.384615385,102.0471429
96,1.0,387.1794872,0.41025641,103.0311936
97,1.0,387.1794872,0.435897436,103.8279747
98,1.0,387.1794872,0.461538462,104.4389402
99,1.0,387.1794872,0.487179487,104.8636132
100,1.0,387.1794872,0.512820513,105.0996951
101,1.0,387.1794872,0.538461538,105.1430903
102,1.0,387.1794872,0.564102564,104.987852
103,1.0,387.1794872,0.58974359,104.6260495
104,1.0,387.1794872,0.615384615,104.0475461
105,1.0,387.1794872,0.641025641,103.2396707
106,1.0,387.1794872,0.666666667,102.1867515
107,1.0,387.1794872,0.692307692,100.8694657
108,1.0,387.1794872,0.717948718,99.26392682
109,1.0,387.1794872,0.743589744,97.34039131
110,1.0,387.1794872,0.769230769,95.06138005
111,1.0,387.1794872,0.794871795,92.37886826
112,1.0,387.1794872,0.820512821,89.22990497
113,1.0,387.1794872,0.846153846,85.52940814
114,1.0,387.1794872,0.871794872,81.15742615
